station_id,lat,lon,station_name,state,country,production_date,forecast_date,fcst_mn,fcst_mx,fcst_avg,norm_mn,norm_mx
KINW,35.033,-110.71700000000001,WINSLOW         ,AZ,US,12/6/2018,12/6/2018,26,50,38.0,21.6,50.5
KIPT,41.25,-76.917,WILLIAMSPORT    ,PA,US,12/6/2018,12/6/2018,26,38,32.0,27.4,40.9
KISN,48.167,-103.633,WILLISTON       ,ND,US,12/6/2018,12/6/2018,7,24,15.5,6.3,27.0
KJAN,32.317,-90.083,JACKSON         ,MS,US,12/6/2018,12/6/2018,36,55,45.5,38.8,60.3
KJAX,30.5,-81.683,JACKSONVILLE    ,FL,US,12/6/2018,12/6/2018,38,61,49.5,45.8,68.5
KJCT,30.511,-99.766,Junction,TX,US,12/6/2018,12/6/2018,41,65,53.0,34.1,63.2
KLAL,27.989,-82.01899999999999,Lakeland Reg AP,FL,US,12/6/2018,12/6/2018,25,56,40.5,53.9,75.8
KLAN,42.783,-84.583,LANSING         ,MI,US,12/6/2018,12/6/2018,22,31,26.5,25.4,37.2
KLAS,36.083,-115.15,LAS VEGAS       ,NV,US,12/6/2018,12/6/2018,42,52,47.0,39.6,57.7
KLAX,33.933,-118.383,LOS ANGELES     ,CA,US,12/6/2018,12/6/2018,53,60,56.5,49.3,65.2
KLBB,33.667,-101.81700000000001,LUBBOCK         ,TX,US,12/6/2018,12/6/2018,28,46,37.0,28.4,55.6
KLBF,41.117,-100.667,NORTH PLATTE    ,NE,US,12/6/2018,12/6/2018,0,23,11.5,13.0,40.6
KLCH,30.133000000000003,-93.21700000000001,LAKE CHARLES    ,LA,US,12/6/2018,12/6/2018,49,67,58.0,45.6,65.3
KLEX,38.033,-84.6,LEXINGTON       ,KY,US,12/6/2018,12/6/2018,29,43,36.0,30.2,46.4
KLFK,31.233,-94.75,LUFKIN          ,TX,US,12/6/2018,12/6/2018,47,65,56.0,40.9,62.7
KLFT,30.2,-92.0,LAFAYETTE       ,LA,US,12/6/2018,12/6/2018,46,66,56.0,45.9,66.1
KLGA,40.783,-73.883,LA GUARDIA,NY,US,12/6/2018,12/6/2018,33,41,37.0,35.2,47.4
KLGB,33.817,-118.15,LONG BEACH      ,CA,US,12/6/2018,12/6/2018,52,63,57.5,46.3,67.3
KLIT,34.733000000000004,-92.23299999999999,LITTLE ROCK     ,AR,US,12/6/2018,12/6/2018,35,42,38.5,35.5,54.5
KLND,42.817,-108.73299999999999,LANDER          ,WY,US,12/6/2018,12/6/2018,0,25,12.5,10.7,32.4
KLNK,40.85,-96.76700000000001,LINCOLN         ,NE,US,12/6/2018,12/6/2018,2,28,15.0,18.4,39.5
KLNS,40.117,-76.3,LANCASTER       ,PA,US,12/6/2018,12/6/2018,28,39,33.5,28.0,44.1
KLRD,27.533,-99.46700000000001,Larado INTL AP,TX,US,12/6/2018,12/6/2018,62,80,71.0,48.0,69.1
KLSE,43.883,-91.25,LA CROSSE       ,WI,US,12/6/2018,12/6/2018,-6,27,10.5,17.6,32.2
KLUK,39.1,-84.417,CINCINNAT/LUNKEN,OH,US,12/6/2018,12/6/2018,21,42,31.5,28.1,46.0
KLWS,46.367,-117.01700000000001,LEWISTON        ,ID,US,12/6/2018,12/6/2018,22,36,29.0,29.0,40.6
KLYH,37.317,-79.2,LYNCHBURG       ,VA,US,12/6/2018,12/6/2018,26,44,35.0,29.3,50.2
KMAF,31.95,-102.2,MIDLAND         ,TX,US,12/6/2018,12/6/2018,34,57,45.5,32.0,59.6
KMCI,39.3,-94.73299999999999,KANSAS CITY,MO,US,12/6/2018,12/6/2018,16,31,23.5,24.9,42.8
KMCN,32.683,-83.65,MACON           ,GA,US,12/6/2018,12/6/2018,29,51,40.0,37.9,61.9
KMCO,28.416999999999998,-81.333,ORLANDO         ,FL,US,12/6/2018,12/6/2018,46,72,59.0,54.4,74.3
KMDT,40.2,-76.767,MIDDLETOWN      ,PA,US,12/6/2018,12/6/2018,28,39,33.5,28.7,44.2
KMDW,41.783,-87.75,CHICAGO         ,IL,US,12/6/2018,12/6/2018,18,31,24.5,25.5,38.2
KMEI,32.333,-88.75,MERIDIAN/KEY FLD,MS,US,12/6/2018,12/6/2018,35,54,44.5,37.1,61.0
KMEM,35.067,-89.98299999999999,MEMPHIS         ,TN,US,12/6/2018,12/6/2018,35,47,41.0,37.0,54.4
KMFE,26.183000000000003,-98.25,MCALLEN         ,TX,US,12/6/2018,12/6/2018,65,82,73.5,53.4,73.8
KMFR,42.383,-122.867,MEDFORD         ,OR,US,12/6/2018,12/6/2018,26,50,38.0,33.4,46.6
KMGM,32.3,-86.4,MONTGOMERY      ,AL,US,12/6/2018,12/6/2018,32,51,41.5,38.9,61.9
KMHT,42.933,-71.433,MANCHESTER      ,NH,US,12/6/2018,12/6/2018,27,39,33.0,26.2,41.4
KMIA,25.8,-80.283,MIAMI           ,FL,US,12/6/2018,12/6/2018,63,77,70.0,64.8,79.0
KMKE,42.95,-87.9,MILWAUKEE       ,WI,US,12/6/2018,12/6/2018,16,30,23.0,23.0,35.7
KMKG,43.167,-86.23299999999999,MUSKEGON        ,MI,US,12/6/2018,12/6/2018,25,31,28.0,27.9,37.7
KMLB,28.1,-80.65,MELBOURNE       ,FL,US,12/6/2018,12/6/2018,56,75,65.5,54.9,74.9
KMLI,41.45,-90.51700000000001,MOLINE/QUAD CITY,IL,US,12/6/2018,12/6/2018,17,30,23.5,21.3,37.7
KMLS,46.433,-105.883,MILES CITY      ,MT,US,12/6/2018,12/6/2018,0,24,12.0,11.8,32.9
KMLU,32.516999999999996,-92.03299999999999,MONROE          ,LA,US,12/6/2018,12/6/2018,40,56,48.0,38.9,61.1
KMOB,30.683000000000003,-88.25,MOBILE/BATES    ,AL,US,12/6/2018,12/6/2018,37,56,46.5,43.7,64.6
KMOD,37.617,-120.95,MODESTO         ,CA,US,12/6/2018,12/6/2018,37,57,47.0,40.4,57.6
KMOT,48.25,-101.26700000000001,MINOT           ,ND,US,12/6/2018,12/6/2018,9,21,15.0,10.2,26.2
KMSN,43.133,-89.35,MADISON         ,WI,US,12/6/2018,12/6/2018,4,28,16.0,19.0,33.2
KMSO,46.917,-114.1,MISSOULA        ,MT,US,12/6/2018,12/6/2018,2,24,13.0,18.2,32.1
KMSP,44.883,-93.23299999999999,MINNEAPOLIS     ,MN,US,12/6/2018,12/6/2018,3,22,12.5,15.5,30.0
KMSY,30.0,-90.25,NEW ORLEANS/INTL,LA,US,12/6/2018,12/6/2018,49,65,57.0,48.5,66.2
KMWL,32.783,-98.06700000000001,MINERAL WELLS   ,TX,US,12/6/2018,12/6/2018,41,63,52.0,34.8,59.4
KNEW,30.05,-90.03299999999999,NEW ORLEANS/LAKE,LA,US,12/6/2018,12/6/2018,50,62,56.0,50.7,64.8
KNYC,40.783,-73.967,NYC/CENTRAL PARK,NY,US,12/6/2018,12/6/2018,32,39,35.5,35.1,46.2
KNYL,32.633,-114.617,YUMA MCAS,AZ,US,12/6/2018,12/6/2018,49,60,54.5,47.4,69.5
KOFK,41.983000000000004,-97.43299999999999,NORFOLK         ,NE,US,12/6/2018,12/6/2018,-5,22,8.5,16.5,36.1
KOKC,35.383,-97.6,OKLAHOMA CITY   ,OK,US,12/6/2018,12/6/2018,30,53,41.5,32.3,52.6
KOMA,41.317,-95.9,OMAHA/EPPLEY    ,NE,US,12/6/2018,12/6/2018,-1,25,12.0,19.2,37.7
KONT,34.05,-117.583,ONTARIO         ,CA,US,12/6/2018,12/6/2018,47,59,53.0,42.8,66.4
KORD,41.983000000000004,-87.93299999999999,CHICAGO O'HARE  ,IL,US,12/6/2018,12/6/2018,16,31,23.5,23.5,37.7
KORF,36.9,-76.2,NORFOLK         ,VA,US,12/6/2018,12/6/2018,36,46,41.0,38.4,54.7
KORH,42.266999999999996,-71.867,WORCESTER       ,MA,US,12/6/2018,12/6/2018,24,35,29.5,26.1,39.5
KOXR,34.2,-119.2,OXNARD          ,CA,US,12/6/2018,12/6/2018,48,62,55.0,45.0,65.6
KPAH,37.067,-88.76700000000001,PADUCAH         ,KY,US,12/6/2018,12/6/2018,28,43,35.5,30.7,49.0
KPBI,26.683000000000003,-80.1,WEST PALM BEACH ,FL,US,12/6/2018,12/6/2018,61,77,69.0,61.9,77.3
KPDT,45.7,-118.833,PENDLETON       ,OR,US,12/6/2018,12/6/2018,18,34,26.0,28.0,40.7
KPDX,45.583,-122.6,PORTLAND        ,OR,US,12/6/2018,12/6/2018,30,44,37.0,36.1,46.8
KPHL,39.867,-75.233,PHILADELPHIA    ,PA,US,12/6/2018,12/6/2018,32,40,36.0,32.8,47.9
KPHX,33.433,-112.01700000000001,PHOENIX/SKY HRBR,AZ,US,12/6/2018,12/6/2018,51,61,56.0,45.8,67.2
KPIA,40.667,-89.68299999999999,PEORIA          ,IL,US,12/6/2018,12/6/2018,18,32,25.0,23.8,39.1
KPIH,42.917,-112.56700000000001,POCATELLO       ,ID,US,12/6/2018,12/6/2018,5,30,17.5,17.3,34.3
KPIT,40.5,-80.267,PITTSBURGH      ,PA,US,12/6/2018,12/6/2018,23,36,29.5,28.1,42.3
KPKB,39.35,-81.417,PARKERSBURG     ,WV,US,12/6/2018,12/6/2018,24,41,32.5,29.4,46.0
KPNS,30.483,-87.18299999999999,PENSACOLA       ,FL,US,12/6/2018,12/6/2018,39,56,47.5,46.1,64.5
KPOU,41.633,-73.883,POUGHKEEPSIE    ,NY,US,12/6/2018,12/6/2018,24,39,31.5,25.2,43.8
KPRX,33.637,-95.45100000000001,Paris,TX,US,12/6/2018,12/6/2018,41,51,46.0,35.9,57.5
KPSP,33.817,-116.5,PALM SPRINGS    ,CA,US,12/6/2018,12/6/2018,51,60,55.5,45.0,68.2
KPUB,38.283,-104.5,PUEBLO,CO,US,12/6/2018,12/6/2018,16,36,26.0,15.3,46.8
KPVD,41.717,-71.433,PROVIDENCE/GREEN,RI,US,12/6/2018,12/6/2018,28,41,34.5,29.5,45.5
KPVU,40.219,-111.723,Provo Airport,UT,US,12/6/2018,12/6/2018,14,33,23.5,24.8,41.7
KPWM,43.65,-70.3,PORTLAND        ,ME,US,12/6/2018,12/6/2018,24,37,30.5,24.2,40.6
KRAL,33.95,-117.45,RIVERSIDE       ,CA,US,12/6/2018,12/6/2018,47,60,53.5,42.8,67.6
KRAP,44.05,-103.05,RAPID CITY      ,SD,US,12/6/2018,12/6/2018,-1,25,12.0,14.2,38.0
KRBL,40.15,-122.25,RED BLUFF       ,CA,US,12/6/2018,12/6/2018,33,57,45.0,38.1,55.5
KRDD,40.516999999999996,-122.3,REDDING         ,CA,US,12/6/2018,12/6/2018,32,58,45.0,36.9,55.7
KRDG,40.367,-75.967,READING         ,PA,US,12/6/2018,12/6/2018,27,38,32.5,28.5,44.6
KRDU,35.867,-78.783,RALEIGH/DURHAM  ,NC,US,12/6/2018,12/6/2018,31,47,39.0,35.3,56.2
KRFD,42.2,-89.1,ROCKFORD        ,IL,US,12/6/2018,12/6/2018,13,29,21.0,20.8,36.3
KRIC,37.516999999999996,-77.317,RICHMOND        ,VA,US,12/6/2018,12/6/2018,31,47,39.0,33.6,53.5
KRIV,33.867,-117.26700000000001,RIVERSIDE/MARCH,CA,US,12/6/2018,12/6/2018,40,57,48.5,41.0,67.0
KRNO,39.483000000000004,-119.76700000000001,RENO            ,NV,US,12/6/2018,12/6/2018,18,36,27.0,25.9,47.0
KROA,37.317,-79.967,ROANOKE         ,VA,US,12/6/2018,12/6/2018,29,44,36.5,32.0,50.1
KROC,43.117,-77.683,ROCHESTER       ,NY,US,12/6/2018,12/6/2018,23,38,30.5,26.5,39.5
KROW,33.3,-104.5,ROSWELL         ,NM,US,12/6/2018,12/6/2018,33,56,44.5,27.3,56.4
KRST,43.9,-92.5,ROCHESTER       ,MN,US,12/6/2018,12/6/2018,-8,19,5.5,15.3,30.0
KRWF,44.55,-95.083,REDWOOD FALL    ,MN,US,12/6/2018,12/6/2018,-7,18,5.5,12.7,29.0
KSAC,38.5,-121.5,SACRAMENTO      ,CA,US,12/6/2018,12/6/2018,36,57,46.5,38.9,55.8
KSAN,32.733000000000004,-117.18299999999999,SAN DIEGO       ,CA,US,12/6/2018,12/6/2018,54,67,60.5,49.0,65.2
KSAT,29.533,-98.46700000000001,SAN ANTONIO     ,TX,US,12/6/2018,12/6/2018,54,65,59.5,43.1,65.6
KSAV,32.117,-81.2,SAVANNAH        ,GA,US,12/6/2018,12/6/2018,33,55,44.0,42.6,64.6
KSAW,46.35,-87.4,GWINN/SAWYER    ,MI,US,12/6/2018,12/6/2018,3,19,11.0,14.3,28.5
KSBA,34.433,-119.85,SANTA BARBARA   ,CA,US,12/6/2018,12/6/2018,42,64,53.0,40.7,64.4
KSBN,41.7,-86.31700000000001,SOUTH BEND      ,IN,US,12/6/2018,12/6/2018,23,31,27.0,25.3,38.0
KSCK,37.883,-121.21700000000001,STOCKTON        ,CA,US,12/6/2018,12/6/2018,37,57,47.0,37.7,55.9
KSDF,38.183,-85.73299999999999,LOUISVILLE      ,KY,US,12/6/2018,12/6/2018,28,45,36.5,32.3,48.5
KSEA,47.45,-122.31700000000001,SEATTLE,WA,US,12/6/2018,12/6/2018,29,46,37.5,36.0,46.4
KSFO,37.617,-122.367,SAN FRANCISCO   ,CA,US,12/6/2018,12/6/2018,45,58,51.5,45.5,57.8
KSGF,37.233000000000004,-93.383,SPRINGFIELD     ,MO,US,12/6/2018,12/6/2018,23,39,31.0,27.0,47.3
KSHR,44.766999999999996,-106.96700000000001,SHERIDAN        ,WY,US,12/6/2018,12/6/2018,9,34,21.5,11.6,36.1
KSHV,32.45,-93.833,SHREVEPORT      ,LA,US,12/6/2018,12/6/2018,43,56,49.5,39.2,60.3
KSJC,37.367,-121.917,SAN JOSE        ,CA,US,12/6/2018,12/6/2018,40,59,49.5,42.8,62.4
KSJT,31.366999999999997,-100.5,SAN ANGELO      ,TX,US,12/6/2018,12/6/2018,36,65,50.5,34.8,61.3
KSLC,40.783,-111.96700000000001,SALT LAKE CITY  ,UT,US,12/6/2018,12/6/2018,24,31,27.5,23.8,39.7
KSLE,44.9,-123.0,SALEM           ,OR,US,12/6/2018,12/6/2018,24,43,33.5,34.7,47.2
KSNS,36.667,-121.6,SALINAS         ,CA,US,12/6/2018,12/6/2018,40,63,51.5,41.4,61.9
KSPI,39.85,-89.68299999999999,SPRINGFIELD     ,IL,US,12/6/2018,12/6/2018,17,34,25.5,25.1,41.4
KSPS,33.983000000000004,-98.5,WICHITA FALL    ,TX,US,12/6/2018,12/6/2018,35,60,47.5,32.3,56.5
KSRQ,27.4,-82.56700000000001,SARASOTA/BRADENT,FL,US,12/6/2018,12/6/2018,51,74,62.5,55.3,74.9
KSTC,45.55,-94.05,ST. CLOUD       ,MN,US,12/6/2018,12/6/2018,-3,20,8.5,10.5,27.6
KSTL,38.75,-90.367,ST. LOUIS       ,MO,US,12/6/2018,12/6/2018,21,38,29.5,29.4,45.2
KSTS,38.5,-122.81700000000001,SANTA ROSA      ,CA,US,12/6/2018,12/6/2018,32,60,46.0,37.1,57.3
KSUX,42.383,-96.383,SIOUX CITY      ,IA,US,12/6/2018,12/6/2018,-4,24,10.0,15.5,34.6
KSYR,43.117,-76.1,SYRACUSE        ,NY,US,12/6/2018,12/6/2018,22,36,29.0,26.0,39.6
KTHV,39.917,-76.883,YORK            ,PA,US,12/6/2018,12/6/2018,25,38,31.5,27.5,45.2
KTLH,30.4,-84.35,TALLAHASSEE     ,FL,US,12/6/2018,12/6/2018,35,58,46.5,42.7,67.2
KTOL,41.583,-83.8,TOLEDO          ,OH,US,12/6/2018,12/6/2018,23,37,30.0,25.9,39.4
KTOP,39.067,-95.633,TOPEKA          ,KS,US,12/6/2018,12/6/2018,18,35,26.5,24.4,44.1
KTPA,27.967,-82.53299999999999,TAMPA           ,FL,US,12/6/2018,12/6/2018,48,71,59.5,56.1,73.7
KTTN,40.283,-74.817,TRENTON         ,NJ,US,12/6/2018,12/6/2018,28,38,33.0,30.8,46.0
KTUL,36.2,-95.883,TULSA           ,OK,US,12/6/2018,12/6/2018,30,50,40.0,31.5,51.5
KTUS,32.133,-110.95,TUCSON          ,AZ,US,12/6/2018,12/6/2018,48,70,59.0,39.9,66.0
KTYR,32.367,-95.4,TYLER           ,TX,US,12/6/2018,12/6/2018,47,61,54.0,40.2,58.8
KTYS,35.817,-83.98299999999999,KNOXVILLE       ,TN,US,12/6/2018,12/6/2018,30,44,37.0,33.4,52.2
KUIL,47.933,-124.55,QUILLAYUTE      ,WA,US,12/6/2018,12/6/2018,28,46,37.0,34.9,46.6
KVCT,28.866999999999997,-96.93299999999999,VICTORIA        ,TX,US,12/6/2018,12/6/2018,60,73,66.5,45.7,67.8
KVIS,36.313,-119.38799999999999,Visalia Airport,CA,US,12/6/2018,12/6/2018,40,57,48.5,38.4,56.1
KVTN,42.867,-100.55,VALENTINE       ,NE,US,12/6/2018,12/6/2018,3,21,12.0,12.5,37.8
KWMC,40.9,-117.8,WINNEMUCCA      ,NV,US,12/6/2018,12/6/2018,2,31,16.5,18.2,42.7
KYKM,46.567,-120.53299999999999,YAKIMA          ,WA,US,12/6/2018,12/6/2018,16,34,25.0,22.1,37.7
KYNG,41.25,-80.667,YOUNGSTOWN      ,OH,US,12/6/2018,12/6/2018,25,36,30.5,27.1,39.6
